Store ID,Nombre,Distrito,Direccion
8023,TAMBO YUPANQUI - JESUS MARIA,JESUS MARIA,"Jirón Lloque Yupanqui 1312, Jesús María, Perú"
8058,TAMBO VILLAMARIA-C4 - VMT,VMT,"Avenida Villa María 431, Villa María del Triunfo, Perú"
8063,TAMBO EJERCITO-C11 - MAGDALENA,MAGDALENA,"Avenida del Ejército 1128, Magdalena del Mar, Perú"
8091,TAMBO SANJUAN-C7 - SJM,SJM,"Avenida San Juan 755, San Juan de Miraflores, Perú"
8094,TAMBO CONQUISTADORES-C1 - SAN ISIDRO,SAN ISIDRO,"Avenida Los Conquistadores 125-127, San Isidro, Perú"
8095,TAMBO ARMENDARIZ-C1 - MIRAFLORES,MIRAFLORES,"Avenida Armendáriz 152, Miraflores, Perú"
8121,TAMBO LIRIOS-C1 - SJM, SJM,"Tambo+ Lirios C-1, 115Lima, Perú"
8218,TAMBO ASTETE - SURCO,SURCO,"Jirón Ismael Bielich Flores 400, Santiago de Surco, Perú"
8222,TAMBO REVOLUCION-C14 - VES,VES,"Avenida Revolucion 1447, Lima, Perú"
8317,TAMBO PARACAS-C8 - ATE,ATE,"Paracas 892, Lima, Perú"
8319,TAMBO-TDA AVIACION-SAN BORJA,SAN BORJA,"Avenida Aviación 3015, San Borja, Perú"
8392,TAMBO BENAVIDES-C54 - SURCO,SURCO,"Avenida Alfredo Benavides 5439, Santiago de Surco, Perú"
8398,TAMBO H-CENEPA-SJL - SJL,SJL,"Auxiliar Avenida Héroes del Cenepa 158, San Juan de Lurigancho, Perú"
8400,TAMBO-TUSILAGOS-SJL,SJL,"Avenida Los Tusilagos Oeste 220 Urb, San Juan de Lurigancho, Perú"
8422,TAMBO TDA CORREGIDOR - LA MOLINA,LA MOLINA,"Alameda del Corregidor 1684, La Molina, Perú"
8438,TAMBO ANGAMOS-C25-2 - SAN BORJA,SAN BORJA,"Avenida Angamos Este 2557, San Borja, Perú"
8555,TAMBO GRAU-C12 - BARRANCO,BARRANCO,"Avenida Almirante Miguel Grau 1210, Barranco, Perú"
8562,TAMBO COLONIAL-C26 - CERCADO DE LIMA, CERCADO DE LIMA,"Avenida Colonial 2687, Lima, Perú"
8869,TAMBO HCENEPA-C4-SJL,SJL,"Avenida Héroes del Cenepa 491-499, San Juan de Lurigancho, Perú"
