Store ID,Nombre,Distrito ID,Distrito,Direccion
9672,TAMBO UNIVERSITARIA-C80 - COMAS,2, COMAS,"Avenida Universitaria 8021, Comas, Perú"
9680,TAMBO CANTACALLAO-C3-CALLAO,7,CALLAO,"CANTACALLAO-C3-CALLAO, Callao, Perú"
9700,TAMBO-AREQUIPA-C19-LINCE,16,LINCE,"Avenida Arequipa 1900, Lince, Perú"
9713,TAMBO PANDO - SAN MIGUEL,25,SAN MIGUEL,"Avenida Universitaria 728, San Miguel, Perú"
9731,TAMBO ESMERALDA-CARABAYLLO,8,CARABAYLLO,"Vía Metropolitana, Carabayllo 15121, Carabayllo, Perú"
9745,TAMBO ZELA - LINCE,16,LINCE,"Avenida Juan Pardo de Zela 850, Lince, Perú"
9770,TAMBO HEROES - SJM,28,SJM,"Avenida los Héroes 171, San Juan de Miraflores, Perú"
9789,TAMBO SANTAELVIRA - LOS OLIVOS,3, LOS OLIVOS,"Av Sta Elvira Mz. A, Los Olivos 15306, Perú, Los Olivos, Perú"
9809,TAMBO 28DEJULIO-C10 - CERCADO DE LIMA,9,CERCADO DE LIMA,"Avenida 28 de Julio 1000, Lima, Perú"
9813,TAMBO ARGENTINA-C39 - CALLAO,7,CALLAO,"Avenida Argentina 3990, Callao, Perú"
9823,TAMBO MARINA-C32 - SAN MIGUEL,25,SAN MIGUEL,"Avenida de la Marina 3289, San Miguel, Perú"
9837,TAMBO SANCHEZCARRION-C2 - SAN ISIDRO,24,SAN ISIDRO,"Avenida Faustino Sánchez Carrión 302, San Isidro, Perú"
9845,TAMBO DIEGO-DE-ALMAGRO - JESUS MARIA,13,JESUS MARIA,"Jirón Diego de Almagro 464, Jesús María, Perú"
9872,TAMBO DOMINICOS-C5 - CALLAO,7,CALLAO,"Avenida El Olivar 598, Callao, Perú"
9876,TAMBO-T-ASPERO-SJL,27,SJL,"Templo de Aspero 334, San Juan de Lurigancho, Perú"
9879,TAMBO-MARINA-C16-PUEBLO LIBRE,22,PUEBLO LIBRE,"Avenida de la Marina 1622, Pueblo Libre, Perú"
9880,TAMBO COLLIQUE - COMAS,11,COMAS,"Avenida Túpac Amaru 7901, Comas, Perú"
9881,TAMBO UCAYALI - CERCADO DE LIMA,9,CERCADO DE LIMA,"Jirón Ucayali 326, Lima, Perú"
9890,TAMBO BRASIL-C13 - PUEBLO LIBRE,22,PUEBLO LIBRE,"Avenida Brasil 1306, Pueblo Libre, Perú"
9909,TAMBO AYACUCHO-C13 - SURCO,29,SURCO,"Avenida Ayacucho 1355, Santiago de Surco, Perú"
9954,TAMBO-TOLOMEO-C1-CHORRILLOS,10,CHORRILLOS,"Tolomeo 160 - 164 Urb, Chorrillos, Perú"
9961,TAMBO ARRIOLA - LA VICTORIA,15,LA VICTORIA,"Avenida Nicolás Arriola 397, La Victoria, Perú"
9984,TAMBO TDA SAN BORJA - SAN BORJA,23,SAN BORJA,"Avenida San Borja Norte 996, San Borja, Perú"
